[2024-05-05T07:56:35.177+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-05T07:56:35.189+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: sample.upload_clean_to_gcs manual__2024-05-05T06:09:12.404579+00:00 [queued]>
[2024-05-05T07:56:35.195+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: sample.upload_clean_to_gcs manual__2024-05-05T06:09:12.404579+00:00 [queued]>
[2024-05-05T07:56:35.195+0000] {taskinstance.py:2303} INFO - Starting attempt 6 of 6
[2024-05-05T07:56:35.210+0000] {taskinstance.py:2327} INFO - Executing <Task(LocalFilesystemToGCSOperator): upload_clean_to_gcs> on 2024-05-05 06:09:12.404579+00:00
[2024-05-05T07:56:35.219+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'sample', 'upload_clean_to_gcs', 'manual__2024-05-05T06:09:12.404579+00:00', '--job-id', '125', '--raw', '--subdir', 'DAGS_FOLDER/my_dag.py', '--cfg-path', '/tmp/tmp42uv3lyu']
[2024-05-05T07:56:35.221+0000] {standard_task_runner.py:91} INFO - Job 125: Subtask upload_clean_to_gcs
[2024-05-05T07:56:35.225+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=9298) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-05-05T07:56:35.226+0000] {standard_task_runner.py:63} INFO - Started process 9310 to run task
[2024-05-05T07:56:35.260+0000] {task_command.py:426} INFO - Running <TaskInstance: sample.upload_clean_to_gcs manual__2024-05-05T06:09:12.404579+00:00 [running]> on host 5bc5768c5236
[2024-05-05T07:56:35.336+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='sample' AIRFLOW_CTX_TASK_ID='upload_clean_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-05-05T06:09:12.404579+00:00' AIRFLOW_CTX_TRY_NUMBER='6' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-05T06:09:12.404579+00:00'
[2024-05-05T07:56:35.337+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-05T07:56:35.343+0000] {connection.py:274} WARNING - Connection schemes (type: google_cloud_platform) shall not contain '_' according to RFC3986.
[2024-05-05T07:56:35.347+0000] {base.py:84} INFO - Using connection ID 'my_gcp_conn' for task execution.
[2024-05-05T07:56:35.587+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_1.csv uploaded to pm25_cleaned/2024-05-05_1.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:35.639+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_5.csv uploaded to pm25_cleaned/2024-05-05_5.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:35.697+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_2.csv uploaded to pm25_cleaned/2024-05-04_2.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:35.756+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_19.csv uploaded to pm25_cleaned/2024-05-02_19.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:35.814+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_21.csv uploaded to pm25_cleaned/2024-05-02_21.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:35.862+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_22.csv uploaded to pm25_cleaned/2024-05-03_22.csv in dw-projec-swu-ds525 bucket
